host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
within a few hours,0.91,0.93,True,19.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66364,-79.44179,Private room in rental unit,Private room,2,1.0,1.0,79.0,29,1125,3,29,59,334,13,0,0,4.77,4.69,4.92,4.77,4.85,4.69,4.77,False,0.52,19,3900.0
no response,0.0,1.0,True,3.0,True,True,Waterfront Communities-The Island,43.64205,-79.37993,Entire condo,Entire home/apt,4,2.0,2.0,264.0,31,160,0,0,0,0,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.2,64,2797.0
within a few hours,1.0,1.0,False,5.0,True,True,Clairlea-Birchmount,43.7,-79.29048,Entire home,Entire home/apt,3,2.0,2.0,100.0,28,120,7,37,67,67,15,11,1,4.2,4.27,4.33,4.53,4.33,4.2,3.8,False,0.62,15,4389.0
no response,0.0,0.0,False,2.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66526,-79.44307,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,True,0.13,15,3064.0
within an hour,1.0,0.77,False,35.0,True,True,Waterfront Communities-The Island,43.64349,-79.39051,Entire condo,Entire home/apt,2,1.0,1.0,361.0,29,1125,22,52,82,356,7,3,0,4.57,4.43,4.57,5.0,4.57,5.0,4.71,True,0.28,25,4224.0
no response,0.0,0.67,False,9.0,True,True,Thistletown-Beaumond Heights,43.73476,-79.55295,Entire rental unit,Entire home/apt,2,1.0,1.0,98.0,28,1125,0,5,35,310,4,1,0,4.75,4.75,4.5,5.0,4.75,4.75,4.75,False,0.17,22,2639.0
within a day,0.5,0.0,False,1.0,True,False,Corso Italia-Davenport,43.67726,-79.45172,Entire rental unit,Entire home/apt,4,2.0,2.0,200.0,28,365,20,50,80,170,7,0,0,4.29,4.43,4.86,4.86,4.86,4.29,4.43,True,0.28,20,4343.0
no response,0.0,0.88,True,2.0,True,True,Dufferin Grove,43.65517,-79.44638,Entire guest suite,Entire home/apt,2,1.0,1.0,119.0,2,1125,0,0,0,69,15,11,0,4.87,4.93,4.93,4.93,5.0,4.87,4.87,False,0.62,28,1916.0
no response,0.0,0.0,False,2.0,True,True,Waterfront Communities-The Island,43.64467,-79.40018,Entire condo,Entire home/apt,4,1.0,1.0,163.0,28,1125,0,0,0,0,47,0,0,4.91,4.87,4.98,4.89,4.89,4.83,4.74,True,1.91,38,1855.0
within an hour,1.0,0.98,False,6.0,True,True,Corso Italia-Davenport,43.67702,-79.4418,Private room in home,Private room,3,1.0,2.0,148.0,1,28,19,49,79,79,36,27,5,4.06,4.14,4.03,4.28,4.25,4.28,4.11,False,1.48,40,4177.0
within an hour,0.8,1.0,True,1.0,True,True,Bay Street Corridor,43.64998,-79.38126,Entire condo,Entire home/apt,4,2.0,2.0,257.0,28,120,0,0,0,0,89,24,0,4.91,4.96,4.79,4.91,4.91,4.94,4.87,False,3.63,42,4399.0
within a few hours,1.0,0.82,False,100.0,True,True,Waterfront Communities-The Island,43.64195,-79.38104,Entire condo,Entire home/apt,3,1.0,2.0,115.0,28,1125,2,3,33,33,6,3,1,5.0,5.0,5.0,4.83,5.0,4.83,5.0,False,0.28,51,4095.0
within an hour,1.0,0.98,False,6.0,True,True,Corso Italia-Davenport,43.67762,-79.44352,Private room in home,Private room,3,1.0,2.0,144.0,1,28,22,52,82,82,39,25,3,4.36,4.49,4.41,4.59,4.62,4.41,4.33,False,1.57,38,4177.0
within a few hours,1.0,0.83,False,5.0,True,True,Moss Park,43.65885,-79.37406,Entire condo,Entire home/apt,2,1.0,1.0,149.0,28,1125,7,37,67,157,33,3,1,4.97,5.0,4.94,5.0,4.94,4.85,4.85,False,1.32,18,3123.0
within an hour,1.0,0.9,False,4.0,True,True,Stonegate-Queensway,43.64353,-79.52045,Private room in home,Private room,2,1.0,1.0,72.0,2,28,1,31,61,336,75,39,2,4.72,4.81,4.59,4.89,4.89,4.85,4.73,False,3.01,37,3188.0
within an hour,0.98,0.94,False,12.0,True,True,Niagara,43.63717,-79.40533,Entire condo,Entire home/apt,3,1.0,2.0,408.0,28,1125,13,43,67,67,49,24,3,4.53,4.57,4.45,4.76,4.78,4.9,4.51,False,2.02,36,3973.0
a few days or more,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64574,-79.39496,Entire condo,Entire home/apt,2,1.0,1.0,130.0,30,1125,0,0,0,154,6,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.26,31,2815.0
within an hour,1.0,0.9,False,4.0,True,True,Stonegate-Queensway,43.64353,-79.51973,Private room in home,Private room,2,1.0,1.0,74.0,2,28,6,36,66,341,65,29,4,4.65,4.78,4.54,4.95,4.88,4.86,4.69,False,2.6,38,3188.0
within an hour,1.0,0.9,False,4.0,True,True,Islington-City Centre West,43.64513,-79.52182,Private room in home,Private room,2,1.0,1.0,75.0,2,28,7,33,63,338,51,36,6,4.73,4.88,4.75,4.9,4.86,4.8,4.75,False,2.05,40,3188.0
a few days or more,0.0,0.0,False,2.0,True,False,Waterfront Communities-The Island,43.64052,-79.38302,Entire condo,Entire home/apt,4,1.0,2.0,450.0,28,365,30,60,90,365,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,0.04,23,4164.0
within an hour,1.0,0.88,False,4.0,True,True,Niagara,43.63518,-79.4034,Entire condo,Entire home/apt,5,2.0,3.0,242.0,2,1125,30,60,89,89,127,46,3,4.78,4.78,4.42,4.92,4.94,4.96,4.65,False,5.2,44,2961.0
within an hour,1.0,0.9,False,3.0,True,True,Malvern,43.80274,-79.22453,Entire home,Entire home/apt,5,4.0,4.0,155.0,29,365,6,36,66,238,3,0,0,4.67,4.67,4.33,5.0,5.0,5.0,5.0,False,0.14,42,4087.0
no response,0.0,0.0,False,6.0,True,False,Briar Hill-Belgravia,43.70287,-79.44178,Entire rental unit,Entire home/apt,4,2.0,2.0,41.0,28,30,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.04,11,2035.0
within an hour,1.0,0.91,False,30.0,True,True,Waterfront Communities-The Island,43.64517,-79.38915,Entire condo,Entire home/apt,4,2.0,2.0,899.0,28,1125,30,60,90,179,11,3,0,4.55,4.18,4.27,5.0,4.45,5.0,4.36,False,0.45,36,4351.0
within an hour,1.0,1.0,False,3.0,True,True,Old East York,43.69636,-79.32377,Entire rental unit,Entire home/apt,5,1.0,1.0,78.0,28,365,0,0,24,299,12,4,0,4.08,4.17,4.5,4.58,4.58,4.42,4.08,True,0.49,21,2687.0
within an hour,1.0,0.91,False,70.0,True,True,Waterfront Communities-The Island,43.6503,-79.38746,Entire condo,Entire home/apt,5,2.0,2.0,765.0,28,1125,1,30,60,150,2,2,0,4.0,4.5,4.0,4.5,4.5,5.0,4.0,False,0.22,29,3236.0
within an hour,1.0,0.98,True,4.0,True,True,Waterfront Communities-The Island,43.64068,-79.38255,Entire condo,Entire home/apt,6,2.0,3.0,329.0,1,1125,4,17,43,196,225,127,12,4.92,4.93,4.83,4.87,4.96,4.92,4.8,False,9.38,52,2546.0
within a few hours,1.0,1.0,False,2.0,True,True,Humber Heights-Westmount,43.68803,-79.52716,Entire guest suite,Entire home/apt,6,2.0,5.0,165.0,28,1125,1,1,1,51,3,2,0,4.67,5.0,4.33,5.0,5.0,5.0,4.67,False,0.12,42,3395.0
no response,0.0,0.0,False,5.0,True,True,Waterfront Communities-The Island,43.64355,-79.39023,Entire condo,Entire home/apt,2,1.0,1.0,195.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.04,15,3952.0
within an hour,1.0,0.98,False,4.0,True,True,Waterfront Communities-The Island,43.64167,-79.39599,Entire condo,Entire home/apt,6,2.0,3.0,458.0,2,1125,12,31,58,219,44,20,0,4.7,4.61,4.39,4.86,4.93,4.98,4.57,True,2.02,46,4391.0
within an hour,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.64061,-79.39255,Private room in condo,Private room,1,1.0,1.0,38.0,28,90,0,0,0,0,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,16,3021.0
within a few hours,1.0,0.25,True,2.0,True,True,High Park North,43.66093,-79.45637,Entire rental unit,Entire home/apt,3,1.0,1.0,95.0,28,1125,3,9,9,83,5,2,0,5.0,5.0,4.8,5.0,4.8,4.8,5.0,False,0.23,39,619.0
within an hour,1.0,1.0,False,1.0,True,True,Moss Park,43.65381,-79.36619,Entire condo,Entire home/apt,2,1.0,1.0,350.0,1,30,6,36,66,341,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2.0,35,4392.0
within an hour,0.98,0.91,False,15.0,True,True,Waterfront Communities-The Island,43.64174,-79.38226,Entire condo,Entire home/apt,3,1.0,2.0,138.0,28,1125,28,43,43,43,32,16,0,4.66,4.72,4.63,4.94,4.88,4.97,4.63,False,1.28,35,3937.0
within an hour,1.0,0.96,True,2.0,True,True,Greenwood-Coxwell,43.66958,-79.31911,Entire rental unit,Entire home/apt,3,1.0,1.0,249.0,28,93,6,36,66,92,41,32,1,4.85,4.85,4.98,4.93,4.95,4.8,4.78,False,1.74,54,2832.0
within an hour,1.0,0.97,True,2.0,True,True,Greenwood-Coxwell,43.67097,-79.31956,Entire home,Entire home/apt,2,1.0,1.0,80.0,4,16,1,5,26,116,51,30,4,4.76,4.8,4.73,4.92,4.94,4.78,4.8,True,2.07,27,2495.0
within an hour,0.8,0.94,True,1.0,True,True,Humbermede,43.74759,-79.55234,Entire rental unit,Entire home/apt,2,1.0,1.0,123.0,1,1125,0,0,20,289,110,56,0,4.86,4.83,4.79,4.86,4.91,4.77,4.92,False,4.53,57,1631.0
within an hour,1.0,0.96,False,2.0,True,True,Moss Park,43.65244,-79.37035,Entire condo,Entire home/apt,2,1.0,1.0,150.0,28,1125,2,26,29,204,27,21,0,4.7,4.85,4.56,4.81,4.74,4.96,4.78,False,1.1,40,2752.0
no response,0.0,0.0,False,5.0,True,True,Bedford Park-Nortown,43.72069,-79.41628,Private room in home,Private room,1,1.0,1.0,33.0,28,365,0,0,0,0,3,0,0,4.0,4.0,5.0,5.0,3.67,5.0,4.0,True,0.12,15,3513.0
within an hour,1.0,1.0,True,17.0,True,True,Waterfront Communities-The Island,43.64195,-79.38156,Entire condo,Entire home/apt,6,3.0,3.0,554.0,3,1125,12,37,61,332,43,10,2,5.0,4.98,4.98,4.98,4.95,4.98,4.79,True,1.72,61,3323.0
within a day,1.0,0.69,False,2.0,True,True,O'Connor-Parkview,43.71319,-79.30543,Private room in home,Private room,1,1.0,1.0,39.0,28,1125,0,0,0,249,8,7,0,4.75,4.75,4.88,4.88,4.88,5.0,4.63,False,0.34,42,4390.0
within an hour,1.0,0.99,False,19.0,True,True,Waterfront Communities-The Island,43.64149768,-79.38096948,Entire condo,Entire home/apt,4,1.0,1.0,282.0,1,1125,6,35,59,63,98,76,12,4.71,4.84,4.64,4.76,4.9,4.92,4.66,True,3.94,51,2672.0
within an hour,0.99,0.92,False,28.0,True,True,Waterfront Communities-The Island,43.64287,-79.38068,Entire condo,Entire home/apt,4,1.0,2.0,460.0,1,1125,8,38,68,342,70,43,4,4.59,4.64,4.16,4.79,4.89,4.99,4.4,False,2.87,35,3911.0
within a few hours,0.6,0.67,False,6.0,True,True,Moss Park,43.65159,-79.36607,Entire condo,Entire home/apt,4,1.0,3.0,116.0,28,365,7,34,62,152,2,1,0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,False,0.09,16,3846.0
within a day,1.0,1.0,False,4.0,True,True,New Toronto,43.60138,-79.51856,Entire rental unit,Entire home/apt,2,1.0,1.0,79.0,28,1125,1,1,1,250,2,1,0,5.0,4.5,4.0,5.0,4.5,4.5,4.5,True,0.15,15,3928.0
within an hour,1.0,0.93,False,274.0,True,True,Waterfront Communities-The Island,43.64413,-79.3894,Entire condo,Entire home/apt,6,1.0,3.0,701.0,1,1125,11,41,71,75,127,69,10,4.59,4.68,4.53,4.63,4.76,4.94,4.57,False,5.16,37,3965.0
within a few hours,1.0,1.0,False,4.0,True,True,Church-Yonge Corridor,43.65467,-79.38009,Entire condo,Entire home/apt,2,1.0,1.0,90.0,28,365,9,9,12,47,6,4,1,4.83,5.0,4.5,4.83,5.0,4.83,4.17,True,0.44,45,1600.0
within a few hours,1.0,0.53,False,5.0,True,True,Rosedale-Moore Park,43.68127,-79.38008,Entire home,Entire home/apt,8,4.0,5.0,582.0,3,1125,0,18,48,138,23,13,0,4.96,4.83,4.87,5.0,5.0,5.0,4.87,False,1.11,54,1970.0
within a day,1.0,0.69,False,2.0,True,True,O'Connor-Parkview,43.71096,-79.30522,Private room in home,Private room,1,1.0,1.0,31.0,28,1125,5,35,65,340,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.09,38,4390.0
within an hour,1.0,0.94,True,4.0,True,True,Trinity-Bellwoods,43.64555,-79.42107,Entire guest suite,Entire home/apt,4,2.0,2.0,190.0,2,1125,2,15,23,23,89,62,1,4.84,4.82,4.8,4.94,4.91,4.92,4.78,False,3.78,52,3490.0
within a day,1.0,0.58,False,1.0,True,True,Greenwood-Coxwell,43.67847,-79.3299,Entire rental unit,Entire home/apt,6,2.0,2.0,120.0,2,1125,8,31,61,151,16,7,2,5.0,4.94,4.75,4.94,5.0,5.0,5.0,False,0.66,40,1807.0
within an hour,0.9,1.0,False,5.0,True,True,Palmerston-Little Italy,43.6566,-79.42578,Entire rental unit,Entire home/apt,6,2.0,3.0,182.0,1,30,4,28,58,127,42,29,5,4.5,4.55,4.64,4.6,4.36,4.86,4.62,True,1.83,45,2896.0
within a few hours,0.91,0.93,True,19.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66296,-79.44375,Entire rental unit,Entire home/apt,2,1.0,1.0,70.0,28,1125,24,54,84,359,11,2,0,4.55,4.64,4.73,4.82,4.73,4.27,4.18,False,0.44,33,3900.0
within a few hours,0.91,0.93,True,19.0,True,True,Dovercourt-Wallace Emerson-Junction,43.6614,-79.44369,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,30,1125,1,31,61,336,28,1,0,4.46,4.36,4.64,4.71,4.82,4.71,4.54,False,1.14,32,3900.0
within an hour,1.0,1.0,False,10.0,True,True,Waterfront Communities-The Island,43.64123,-79.39627,Entire condo,Entire home/apt,4,2.0,2.0,411.0,1,30,2,24,54,94,38,14,0,4.63,4.68,4.76,4.79,4.84,4.95,4.66,True,1.56,32,2465.0
within a few hours,0.8,0.58,False,1.0,True,True,O'Connor-Parkview,43.70908,-79.31871,Entire home,Entire home/apt,4,2.0,2.0,120.0,3,6,0,0,5,5,11,4,0,4.91,5.0,4.91,5.0,5.0,4.91,5.0,False,0.49,19,2210.0
no response,0.0,0.0,False,3.0,True,True,Banbury-Don Mills,43.73493,-79.34782,Entire condo,Entire home/apt,2,1.0,1.0,100.0,30,180,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.1,18,4397.0
within an hour,0.89,0.96,False,33.0,True,True,Trinity-Bellwoods,43.64583,-79.41522,Entire rental unit,Entire home/apt,5,2.0,2.0,98.0,28,90,0,3,33,308,31,1,0,4.23,4.35,4.23,4.42,4.19,4.74,4.35,False,1.28,27,3294.0
within an hour,1.0,0.99,False,17.0,True,True,Waterfront Communities-The Island,43.64207,-79.37981,Entire condo,Entire home/apt,4,1.0,2.0,265.0,28,30,10,35,65,90,199,112,9,4.49,4.46,4.5,4.36,4.63,4.91,4.52,False,8.22,54,4023.0
within a few hours,1.0,0.8,True,1.0,True,True,The Beaches,43.67366,-79.2823,Entire guest suite,Entire home/apt,4,2.0,2.0,216.0,3,75,0,19,49,309,34,16,4,5.0,4.97,4.97,5.0,4.97,5.0,4.91,False,1.42,49,2711.0
within an hour,1.0,1.0,False,2.0,True,True,Church-Yonge Corridor,43.65446,-79.37865,Entire condo,Entire home/apt,7,2.0,2.0,466.0,28,1125,18,48,77,77,47,15,1,4.83,4.91,4.74,4.83,4.94,4.98,4.79,True,1.96,31,4049.0
within a few hours,0.9,0.95,True,7.0,True,True,South Riverdale,43.67064,-79.33565,Entire rental unit,Entire home/apt,4,2.0,2.0,120.0,28,1125,0,0,22,22,6,3,0,5.0,5.0,4.83,5.0,5.0,5.0,5.0,True,0.25,40,2190.0
within a few hours,1.0,1.0,False,2.0,True,True,Little Portugal,43.64945,-79.43273,Entire rental unit,Entire home/apt,2,1.0,1.0,71.0,30,1125,8,20,50,325,7,3,0,4.86,5.0,4.57,5.0,4.71,4.86,4.71,True,0.3,27,4412.0
within a few hours,1.0,0.83,True,3.0,True,True,High Park North,43.65877,-79.47219,Entire rental unit,Entire home/apt,1,1.0,1.0,75.0,31,1125,0,0,0,249,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.12,34,2691.0
within an hour,1.0,0.99,False,2.0,True,True,Agincourt North,43.79869,-79.27278,Private room in home,Private room,1,1.0,1.0,58.0,2,27,15,40,40,40,10,9,2,4.8,5.0,4.6,5.0,4.9,5.0,5.0,True,0.41,19,3840.0
no response,0.0,0.0,False,7.0,True,True,Annex,43.66943,-79.39399,Entire condo,Entire home/apt,2,1.0,1.0,121.0,30,365,5,35,65,65,5,5,1,4.8,4.6,4.4,4.2,4.6,5.0,4.2,True,0.57,21,4352.0
within a few hours,1.0,1.0,True,3.0,True,True,Roncesvalles,43.653,-79.45075,Entire rental unit,Entire home/apt,2,1.0,2.0,90.0,28,240,0,0,0,258,5,5,0,4.8,5.0,4.8,4.4,4.6,4.8,4.8,False,0.45,21,4064.0
within a day,0.9,0.92,False,7.0,True,True,Willowdale East,43.77884,-79.40452,Private room in bungalow,Private room,1,1.0,1.0,38.0,28,365,0,13,43,133,4,3,0,4.25,4.25,4.5,5.0,4.75,5.0,4.0,False,0.17,28,4074.0
within a day,0.64,0.58,False,30.0,True,True,Willowdale East,43.76135,-79.41074,Entire condo,Entire home/apt,4,2.0,2.0,300.0,28,1125,30,60,90,180,1,1,0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,False,0.12,34,2978.0
within a day,0.64,0.58,False,30.0,True,True,Willowdale East,43.76093,-79.40899,Entire condo,Entire home/apt,4,2.0,2.0,400.0,28,1125,28,58,88,178,5,3,0,4.6,4.8,4.6,4.8,4.4,5.0,4.6,False,0.2,33,2978.0
within a few hours,1.0,1.0,False,2.0,True,True,Woburn,43.76553,-79.21086,Entire home,Entire home/apt,2,1.0,1.0,89.0,28,1125,7,34,60,60,56,30,0,4.7,4.77,4.61,4.98,4.95,4.8,4.68,True,2.33,32,3643.0
within an hour,1.0,1.0,True,3.0,True,True,Annex,43.67067,-79.39398,Entire condo,Entire home/apt,2,1.0,1.0,100.0,30,1125,0,0,0,0,5,1,0,4.8,5.0,4.2,5.0,5.0,5.0,4.4,True,0.24,22,4251.0
within an hour,1.0,0.91,False,12.0,True,True,Waterfront Communities-The Island,43.64204,-79.38232,Entire condo,Entire home/apt,4,2.0,3.0,599.0,1,1125,3,10,40,43,80,48,3,4.49,4.56,4.54,4.63,4.75,4.93,4.51,False,3.3,34,4225.0
within an hour,0.83,0.94,False,28.0,True,True,Cabbagetown-South St.James Town,43.66579,-79.37409,Private room in home,Private room,2,1.0,1.0,95.0,28,1125,3,21,47,285,5,2,0,4.4,4.2,4.2,4.6,4.2,4.6,4.2,False,0.21,13,748.0
within an hour,1.0,1.0,False,6.0,True,True,West Humber-Clairville,43.73862,-79.59368,Private room in bungalow,Private room,2,1.0,2.0,22.0,28,93,21,26,53,53,6,4,1,5.0,4.67,5.0,5.0,5.0,4.67,5.0,True,0.29,23,3976.0
no response,0.0,0.0,False,1.0,True,False,Woburn,43.77106,-79.24117,Entire home,Entire home/apt,6,3.0,3.0,349.0,2,1125,0,0,0,64,20,16,2,4.35,4.7,4.3,4.9,4.25,4.55,4.3,False,1.15,41,4662.0
no response,0.0,0.8,False,196.0,True,True,Moss Park,43.65304,-79.36016,Entire rental unit,Entire home/apt,4,2.0,2.0,133.0,5,1125,6,18,43,43,31,21,2,4.61,4.77,4.55,4.77,4.94,4.97,4.71,True,1.31,38,1076.0
within an hour,0.95,1.0,False,7.0,True,True,Forest Hill North,43.69979,-79.43964,Private room in bungalow,Private room,1,1.0,1.0,79.0,2,1125,9,34,34,34,40,24,5,4.53,4.58,4.38,4.68,4.63,4.63,4.48,True,1.69,20,3768.0
within a few hours,0.9,0.82,True,7.0,True,True,Clairlea-Birchmount,43.70702,-79.26522,Entire bungalow,Entire home/apt,2,1.0,1.0,50.0,120,1125,0,0,0,257,4,2,1,4.75,4.75,4.75,4.75,4.75,4.75,4.5,False,0.19,43,4401.0
within a few hours,1.0,0.96,True,2.0,True,True,South Riverdale,43.66348,-79.33947,Entire home,Entire home/apt,6,3.0,3.0,400.0,7,1125,0,0,0,0,2,2,0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,0.92,54,2970.0
within an hour,1.0,0.5,False,2.0,True,True,Lawrence Park South,43.70633,-79.41144,Entire rental unit,Entire home/apt,6,2.0,3.0,140.0,28,1125,0,0,14,15,7,0,0,4.86,5.0,4.71,5.0,5.0,4.86,4.86,False,0.3,33,2933.0
within an hour,1.0,1.0,True,10.0,True,True,Waterfront Communities-The Island,43.64108,-79.39647,Entire condo,Entire home/apt,6,2.0,3.0,250.0,28,90,14,44,74,131,2,1,0,4.5,5.0,4.5,5.0,5.0,5.0,4.5,False,0.16,31,3524.0
within an hour,1.0,0.83,True,12.0,True,True,Waterfront Communities-The Island,43.64663,-79.40121,Private room in condo,Private room,1,1.0,1.0,142.0,28,1125,1,8,38,127,6,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.31,42,882.0
within an hour,1.0,0.97,True,19.0,True,True,Annex,43.66879,-79.40294,Private room in serviced apartment,Private room,2,1.0,1.0,65.0,28,90,0,27,57,69,5,4,1,4.8,5.0,5.0,4.6,5.0,5.0,5.0,False,0.21,40,2951.0
no response,0.0,1.0,False,2.0,True,True,Waterfront Communities-The Island,43.64263,-79.37911,Private room in condo,Private room,4,2.0,2.0,130.0,28,1125,0,0,0,0,56,18,0,4.71,4.59,4.55,4.77,4.89,4.96,4.63,False,2.36,29,4263.0
within an hour,1.0,0.97,True,19.0,True,True,Annex,43.66857,-79.40491,Private room in serviced apartment,Private room,2,1.0,1.0,92.0,29,1125,0,21,51,97,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,4.67,False,0.73,42,2951.0
within an hour,1.0,0.97,True,19.0,True,True,University,43.66683,-79.40279,Room in boutique hotel,Private room,1,1.0,1.0,54.0,28,90,4,4,4,80,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.08,39,2951.0
within a few hours,1.0,0.67,False,1.0,True,False,Bedford Park-Nortown,43.7365,-79.42532,Entire rental unit,Entire home/apt,1,1.0,1.0,71.0,28,40,7,37,67,342,5,2,0,4.8,5.0,4.4,5.0,4.8,4.8,5.0,True,0.21,19,2947.0
within an hour,1.0,0.99,True,6.0,True,True,Yorkdale-Glen Park,43.72421,-79.45309,Private room in home,Private room,2,1.0,1.0,101.0,2,1125,9,39,69,344,28,24,5,4.89,5.0,5.0,5.0,4.93,4.86,4.64,True,1.19,34,2349.0
within an hour,0.9,0.95,False,1.0,True,True,Waterfront Communities-The Island,43.64065,-79.38293,Entire condo,Entire home/apt,6,2.0,3.0,252.0,1,1125,2,6,18,90,101,55,5,4.57,4.7,4.47,4.39,4.67,4.97,4.67,False,4.19,47,4415.0
within an hour,1.0,0.98,False,78.0,True,True,Niagara,43.64088,-79.42135,Entire rental unit,Entire home/apt,2,1.0,1.0,690.0,3,365,26,45,65,338,50,31,4,4.36,4.6,4.76,4.34,4.04,4.6,4.26,False,2.49,28,4078.0
within an hour,1.0,0.98,False,78.0,True,True,South Parkdale,43.63936,-79.42333,Entire rental unit,Entire home/apt,2,1.0,1.0,612.0,3,365,23,53,83,357,26,21,1,4.5,4.42,4.54,4.73,4.42,4.54,4.31,False,1.26,29,4078.0
within an hour,1.0,0.97,True,19.0,True,True,Annex,43.66782,-79.40297,Private room in home,Private room,1,1.0,1.0,43.0,28,90,8,9,10,35,14,11,0,4.29,4.43,4.5,4.36,4.43,4.64,4.21,False,0.58,39,2951.0
within an hour,1.0,0.98,False,78.0,True,True,South Parkdale,43.63944,-79.42209,Entire rental unit,Entire home/apt,4,2.0,1.0,1019.0,3,365,29,59,89,362,120,75,4,4.55,4.59,4.71,4.53,4.58,4.71,4.46,False,5.49,28,4078.0
within an hour,0.99,0.99,False,25.0,True,True,Annex,43.67087,-79.39512,Entire condo,Entire home/apt,3,1.0,2.0,462.0,2,365,14,40,70,334,31,9,0,4.58,4.65,4.52,4.58,4.68,4.97,4.58,True,1.32,47,4316.0
within an hour,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.64399,-79.38121,Entire condo,Entire home/apt,4,2.0,2.0,133.0,90,1125,0,1,31,306,3,3,0,4.67,5.0,5.0,5.0,5.0,5.0,4.33,True,0.37,32,4406.0
within an hour,1.0,1.0,True,35.0,True,True,Little Portugal,43.64939,-79.42557,Entire rental unit,Entire home/apt,1,1.0,1.0,200.0,56,1125,0,0,29,304,6,3,0,5.0,5.0,4.67,5.0,5.0,5.0,4.83,False,0.28,42,1640.0
within a few hours,1.0,0.56,True,1.0,True,True,Oakridge,43.69908,-79.27018,Entire guest suite,Entire home/apt,2,1.0,1.0,86.0,2,3,0,0,0,0,10,10,0,4.9,4.9,4.9,5.0,5.0,4.5,4.9,False,0.9,25,1654.0
no response,0.0,1.0,False,2.0,True,True,Blake-Jones,43.67777,-79.34283,Entire home,Entire home/apt,2,1.0,1.0,70.0,31,62,0,0,0,0,2,2,1,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,1.54,22,639.0
within an hour,1.0,0.98,False,78.0,True,True,Kensington-Chinatown,43.65552,-79.39147,Entire rental unit,Entire home/apt,2,1.0,1.0,589.0,3,365,15,35,48,300,7,2,1,4.0,4.29,4.43,4.71,4.57,4.57,4.14,False,0.35,27,4078.0
within an hour,1.0,0.9,True,2.0,True,True,Lawrence Park South,43.72446,-79.40388,Entire guest suite,Entire home/apt,2,1.0,1.0,138.0,1,1,6,6,21,21,47,32,5,4.85,4.87,4.98,4.94,4.89,4.87,4.74,False,2.04,26,3245.0
within a few hours,1.0,1.0,True,5.0,True,True,Bay Street Corridor,43.66637,-79.38655,Entire condo,Entire home/apt,2,1.0,1.0,228.0,168,1125,0,0,0,250,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.15,43,2388.0
no response,0.0,0.0,False,6.0,True,True,Waterfront Communities-The Island,43.64211,-79.37993,Private room in condo,Private room,2,1.0,1.0,257.0,28,1125,6,6,6,6,21,13,2,5.0,5.0,5.0,4.9,5.0,5.0,4.86,True,0.87,52,4394.0
within an hour,1.0,0.99,True,6.0,True,True,Yorkdale-Glen Park,43.72302,-79.45121,Private room in home,Private room,2,1.0,1.0,92.0,2,1125,12,39,69,344,35,34,3,4.86,4.86,4.94,4.86,4.8,4.69,4.66,True,2.74,35,2349.0
